Delegacion,CveDel,CveSub,AreaGeo,MunPat,Municipio
"JALISCO",1.4000000000000000e+01,1.2000000000000000e+01,"C","S22","SAN DIEGO DE ALEJANDRIA"
"JALISCO",1.4000000000000000e+01,1.2000000000000000e+01,"C","S23","SAN JULIAN"
"JALISCO",1.4000000000000000e+01,1.5000000000000000e+01,"C","B81","ATOTONILCO EL ALTO"
"JALISCO",1.4000000000000000e+01,1.5000000000000000e+01,"C","B92","LA BARCA"
"JALISCO",1.4000000000000000e+01,1.5000000000000000e+01,"C","B95","OCOTLAN"
"JALISCO",1.4000000000000000e+01,1.5000000000000000e+01,"C","B97","PONCITLAN"
"JALISCO",1.4000000000000000e+01,1.5000000000000000e+01,"C","D57","DEGOLLADO"
"JALISCO",1.4000000000000000e+01,1.5000000000000000e+01,"C","H59","AYOTLAN"
"JALISCO",1.4000000000000000e+01,1.5000000000000000e+01,"C","N75","JAMAY"
"JALISCO",1.4000000000000000e+01,1.5000000000000000e+01,"C","N80","TOTOTLAN"
"JALISCO",1.4000000000000000e+01,1.5000000000000000e+01,"C","S38","ZAPOTLAN DEL REY"
"JALISCO",1.4000000000000000e+01,2.2000000000000000e+01,"C","B82","AUTLAN DE NAVARRO"
"JALISCO",1.4000000000000000e+01,2.2000000000000000e+01,"C","B83","CASIMIRO CASTILLO"
"JALISCO",1.4000000000000000e+01,2.2000000000000000e+01,"C","B84","CIUDAD GUZMAN"
"JALISCO",1.4000000000000000e+01,2.2000000000000000e+01,"C","B93","LA HUERTA"
"JALISCO",1.4000000000000000e+01,2.2000000000000000e+01,"C","B96","PIHUAMO"
"JALISCO",1.4000000000000000e+01,2.2000000000000000e+01,"C","C02","GOMEZ FARIAS"
"JALISCO",1.4000000000000000e+01,2.2000000000000000e+01,"C","C03","SAYULA"
"JALISCO",1.4000000000000000e+01,2.2000000000000000e+01,"C","C05","TAMAZULA DE GORDIANO"
"JALISCO",1.4000000000000000e+01,2.2000000000000000e+01,"C","C06","TECALTITLAN"
"JALISCO",1.4000000000000000e+01,2.2000000000000000e+01,"C","C13","TONILA"
