IdClave,IdEntidad,Descripcion
"01","01","AGUASCALIENTES"
"02","02","BAJA CALIF. NORTE"
"03","03","BAJA CALIF. SUR"
"04","04","CAMPECHE"
"05","05","COAHUILA"
"06","06","COLIMA"
"07","07","CHIAPAS"
"08","08","CHIHUAHUA"
"10","10","DURANGO"
"11","11","GUANAJUATO"
"12","12","GUERRERO"
"13","13","HIDALGO"
"14","14","JALISCO"
"15","15","EDO. MEXICO ORIENTE"
"16","15","EDO. MEXICO PONIENTE"
"17","16","MICHOACAN"
"18","17","MORELOS"
"19","18","NAYARIT"
"20","19","NUEVO LEON"
"21","20","OAXACA"
"22","21","PUEBLA"
"23","22","QUERETARO"
"24","23","QUINTANA ROO"
"25","24","SAN LUIS POTOSI"
"26","25","SINALOA"
"27","26","SONORA"
"28","27","TABASCO"
"29","28","TAMAULIPAS"
"30","29","TLAXCALA"
"31","30","VERACRUZ NORTE"
"32","30","VERACRUZ SUR"
"33","31","YUCATAN"
"34","32","ZACATECAS"
"39","09","DELEGACION NORTE (DF)"
"40","09","DELEGACION SUR (DF)"
