CVEERROR,DESCRIPCION
18,"La CURP cuenta con blancos"
19,"El dígito verificador de la CURP es incorrecto"
20,"Error en Tipo de Trabajador debe ser 1 ó 2"
21,"Error en Tipo de Trabajador debe ser 1 a 3"
22,"Error en Semana o Jornada Reducida debe ser 0 a 6"
23,"Error en Trabajador Pensionado debe ser 0 a 2"
24,"Error en el Salario, caracteres inválidos"
25,"No se localizó el Salario Mínimo de la región"
26,"La Fecha de Alta no es una fecha válida o contiene caracteres"
31,"Número de Crédito duplicado"
35,"El Número de Seguridad Social esta incompleto"
36,"El Número de Seguridad Social contiene espacios en blanco"
37,"Las Posiciones 4 a 8 del Registro Patronal no se encuentran en el rango 00001 al 99999"
1,"El campo no puede quedar en blanco"
28,"El Salario debe ser mayor o igual al salario mínimo"
32,"Dígito Verificador incorrecto"
33,"Número de Seguridad Social incorrecto, acudir al IMSS para su aclaración"
34,"No existe Número de Seguridad Social"
2,"Se debe llenar completamente el campo"
3,"El Registro Patronal en su primera posición puede ser una letra o un número"
4,"Solo el primer caracter del Registro Patronal puede ser letra, el resto deben ser números"
5,"El dígito verificador del Registro Patronal no coincide"
6,"La fecha del X no es válida o está fuera de rango"
7,"Los primeros 3 caracteres del RFC deben ser alfabéticos"
27,"El Salario debe ser mayor o igual al salario mínimo integrado"
8,"Los siguientes 6 caracteres del X deben ser numéricos"
9,"Los últimos 3 caracteres del RFC no pueden contener signos especiales"
10,"Falta el dígito verificador del RFC o es incorrecto"
38,"El Registro Patronal no fue localizado en la base de datos"
11,"Nombre del Trabajador cuenta con dos $$"
12,"Nombre del Trabajador tiene caracteres especiales"
13,"El dígito verificador del Número de Seguridad Social no coincide"
14,"El Número de Seguridad Social contiene caracteres"
15,"El RFC no puede estar duplicado"
16,"Los diez primeros caracteres de la CURP no pueden ser diferentes de los diez primeros del RFC"
29,"El Número de Crédito contiene caracteres"
17,"El onceavo caracter no puede ser diferente de H o M"
30,"Número de Crédito incorrecto"
100,"No se localizó ningún movimiento en la Base de Datos de Movimientos"
101,"Para este periodo el trabajador se encuentra de baja, no se aceptan mas movimientos"
102,"Trabajador vigente, registre primero el movimiento de baja"
103,"Movimiento de Ausentismo se traslapa con un ausentismo"
104,"Movimiento de Incapacidad se traslapa con un ausentismo"
105,"Movimiento de Baja se traslapa con un ausentismo"
106,"Movimiento de Ausentismo se traslapa con una incapacidad"
107,"No se ha dado de alta al trabajador"
108,"Tipo de movimiento incorrecto"
109,"La Fecha del Movimiento debe ser mayor o igual al ""30/06/1997"""
110,"La Fecha del Alta debe ser mayor o igual al ""01/07/1997"""
111,"Existe Folio sin incapacidad"
112,"Existe incapacidad sin Número de Folio"
113,"Los Movimientos '00', '01', '02', '07', '08', '09' y '13' no llevan días"
114,"Los Movimientos '11' y '12' deben llevar días"
115,"La Fecha de la Modificación de Salario debe ser del primer día del mes"
116,"Trabajador con Semana/Jornada Reducida menor al mínimo"
140,"Fecha de movimiento antes de la alta"
141,"Trabajador en baja, registre primero el movimiento de reingreso"
151,"Movimiento de Ausentismo se traslapa con un ausentismo"
152,"Movimiento de Incapacidad se traslapa con un ausentismo"
153,"Movimiento de Ausentismo se traslapa con una incapacidad"
154,"Movimiento de Incapacidad se traslapa con una incapacidad"
142,"No se acepta movimiento por ser de fecha anterior a la última baja registrada"
143,"El número de días del ausentismo se traslapa con una baja"
155,"Modalidad inválida"
156,"El Registro Patronal es incorrecto"
157,"Movimiento de Baja se traslapa con un ausentismo"
158,"Trabajador incapacitado, no procede movimiento"
39,"Las Posiciones 4 a 8 del Registro Patronal no se encuentran en el rango 10001 al 99999"
40,"Si el primer dígito es 0, la segunda y tercera posiciones no deben ser menores al valor 10"
159,"Movimiento de Incapacidad se traslapa con una incapacidad"
160,"Trabajador incapacitado, no procede movimiento"
161,"El Salario no debe ser mayor a 25 veces el SMGDF"
200,"Número de Días debe ser mayor a 0"
201,"Número de días de la Incapacidad no puede ser mayor a 45"
202,"Número de días del Ausentismo no puede ser mayor a X en el mes"
170,"Existe doble espacio en el nombre entre palabras"
171,"El campo del Apellido Paterno no puede estar en blanco"
172,"El campo del Nombre no puede estar en blanco"
173,"Fecha de reingreso es mayor a 5 días a la fecha del sistema"
174,"Los primeros 4 caracteres del RFC deben ser letras"
203,"No debe aceptar movimientos con fecha mayor a un día con relación a la fecha del sistema"
250,"El Movimiento no puede reemplazar uno ya existente con estatus 2"
251,"El Movimiento no puede reemplazar uno ya existente con estatus 1"
300,"El Nombre del Padre contiene caracteres especiales"
301,"El Nombre del Padre contiene más de un espacio intermedio"
302,"El Nombre de la Madre contiene caracteres especiales"
303,"El Nombre de la Madre contiene más de un espacio intermedio"
310,"El Código Postal contiene caracteres"
311,"La Entidad contiene caracteres"
312,"No existe la Entidad"
313,"Formato de Sexo incorrecto"
314,"La UMF contiene caracteres"
315,"La Ocupación contiene caracteres especiales"
316,"La Ocupación contiene más de un espacio intermedio"
317,"El Tipo de Salario debe ser ""0"", ""1"" ó ""2"""
318,"Las horas de Jornada Reducida deben ser menores a 8 y mayores a 0"
319,"No se localizó el municipio del Domicilio del Trabajador"
41,"El Número de Días contiene caracteres o espacios"
400,"Fecha de movimiento antes del Inicio del Descuento"
401,"Trabajador en Suspensión de Descuento, registre primero el movimiento de Reinicio de Descuento"
402,"No se acepta Movimiento de Reinicio por ser de fecha anterior a la última suspensión registrada"
50,"El Tipo de Descuento debe ser ""1"" Porcentaje; ""2"" Cuota Fija ó ""3"" Veces Sal. Mín."
51,"El Valor de Descuento contiene caracteres o espacios"
403,"No se acepta Movimiento de Inicio o Reinicio, registre primero el Movimiento de Suspensión"
404,"Descuento vigente, registre primero el Movimiento de Suspensión"
405,"Ya existe un Movimiento de Crédito en esta fecha o posterior"
60,"El doceavo y treceavo caracter de la CURP no coinciden con el Catálogo de Entidades"
117,"El Número de Folio no puede estar duplicado"
350,"No pueden existir días traslapados entre incapacidades"
351,"La Secuencia de la Incapacidad es incorrecta"
61,"La Fecha de Nacimiento es diferente de la CURP"
406,"Ya existe un movimiento de modificación de Datos del Crédito en esta fecha"
407,"El Valor del Descuento debe ser mayor a cero"
408,"La Fecha de Movimiento del Crédito debe ser del primer día del bimestre"
62,"La fecha debe ser igual al 30/06/1997"
409,"Ya existe un Movimiento de Crédito en esta fecha o posterior"
410,"La marca de Aplica Descuento debe ser ""S"" o ""N"""
70,"Error en los Días Subsidiados, contiene caracteres o espacios"
71,"Error en el Porcentaje de Incapacidad, contiene caracteres o espacios"
72,"El Ramo de Seguro debe ser ""1"", ""2"" ó ""3"""
73,"El Tipo de Riesgo debe ser ""0"", ""1"", ""2"" ó ""3"""
74,"La Secuela debe ser  ""0"", ""1"", ""2"", ""3"", ""4"", ""5"" ó ""6"""
75,"El Control de Incapacidad debe ser ""0"", ""1"", ""2"", ""3"", ""4"", ""5"", ""6"", ""7"" u ""8"""
76,"El Porcentaje debe ser diferente de cero"
77,"El Porcentaje debe ser igual o menor a 100"
78,"El Folio de la Incapacidad debe estar en blanco"
79,"El Número de Días de la Incapacidad debe ser cero"
80,"El Folio de la Incapacidad no puede estar en blanco"
82,"El Número de Días de la Incapacidad son incorrectos"
83,"El Número de Días de la Incapacidad no puede ser mayor a 90"
84,"El Número de Días de la Incapacidad debe ser mayor a cero y menor o igual a 28"
85,"El Número de Días de la Incapacidad debe ser mayor a cero y menor o igual a 90"
86,"El Tipo de Riesgo debe ser"
87,"La Secuela debe ser"
88,"El Control de Incapacidad debe ser"
89,"El Salario Diario Integrado no puede ser igual al anterior"
411,"El Valor del Descuento no puede ser el mismo"
204,"No debe aceptar movimientos con fecha mayor a dos meses con relación a la fecha del sistema"
63,"Las primeras cuatro letras del RFC no corresponden con el nombre"
64,"Las primeras cuatro letras de la CURP no corresponden con el nombre"
118,"Error en el formato del Número de Folio"
412,"El Tipo de Descuento no puede ser el mismo"
52,"El Valor de Descuento de 'Porcentaje' debe contener solamente dos enteros y dos decimales"
53,"El Valor de Descuento de 'Cuota Fija' debe contener solamente dos decimales"
54,"El Valor de Descuento de 'Veces Salario Mínimo' debe contener solamente tres enteros"
42,"La Fecha de Inicio de Descuento es menor a la fecha de alta del trabajador"
43,"La fecha no es válida"
90,"Error en Tipo de Trabajador debe ser 1, 2 ó 4"
413,"No Coinciden los caracteres 14 a 16 de la CURP con el Nombre y Apellidos."
414,"La CURP no puede estar duplicada con otro trabajador."
999,"Ajuste de salarios mínimos por cambio de zonas del 27/11/2012 realizado"
