MES_ANO,VAL_INP,VAL_REC
"199706",41.5980,2.8800
"199707",41.9610,2.5100
"199708",42.3340,2.9000
"199709",42.8610,2.5400
"199710",43.2040,2.5400
"199711",43.6870,1.9400
"199712",44.2990,2.4900
"199801",45.2630,2.4800
"199802",46.0550,1.7400
"199803",46.5950,0.4400
"199804",47.0310,1.2200
"199805",47.4050,2.3100
"199806",47.9660,2.4500
"199807",48.4280,2.5400
"199808",48.8940,2.2500
"199809",49.6870,2.6600
"199810",50.3990,3.0000
"199811",51.2910,3.0000
"199812",52.5430,3.0000
"199901",53.8700,3.0000
"199902",54.5940,3.0000
"199903",55.1010,2.9200
"199904",55.6060,3.0000
"199905",55.9410,3.0000
"199906",56.3090,2.8500
"199907",56.6810,3.0000
"199908",57.0000,3.0000
"199909",57.5500,3.0000
"199910",57.9150,3.0000
"199911",58.4300,2.7000
"199912",59.0150,2.9200
"200001",59.8080,2.2300
"200002",60.3380,2.0100
"200003",60.6730,1.4700
"200004",61.0180,2.0700
"200005",61.2460,2.1500
"200006",61.6090,2.0000
"200007",61.8490,2.4300
"200008",62.1890,2.3900
"200009",62.6430,2.3100
"200010",63.0750,2.3000
"200011",63.6140,2.0600
"200012",64.3030,2.2200
"200101",64.6590,2.2200
"200102",64.6160,1.8300
"200103",65.0260,2.6600
"200104",65.3540,3.0000
"200105",65.5040,2.3000
"200106",65.6590,2.3100
"200107",65.4880,2.4200
"200108",65.8760,2.1000
"200109",66.4890,2.7800
"200110",66.7900,1.2800
"200111",67.0420,0.9800
"200112",67.1340,1.6200
"200201",67.7540,1.5500
"200202",67.7110,1.7900
"200203",68.0570,0.6200
"200204",68.4290,2.2200
"200205",68.5670,1.2900
"200206",68.9020,1.0400
"200207",69.1000,1.6700
"200208",69.3620,1.3200
"200209",69.7790,1.6100
"200210",70.0870,1.3800
"200211",70.6540,1.1400
"200212",70.9610,1.4300
"200301",71.2480,2.0100
"200302",71.4460,2.1500
"200303",71.8970,1.9400
"200304",72.0200,2.0700
"200305",71.7880,2.1200
"200306",71.8470,1.9700
"200307",71.9510,1.7600
"200308",72.1670,1.6100
"200309",72.5960,1.5500
"200310",72.8630,1.5200
