MES_PRO,NUM_DIA,BIMESTRE,DIA_MES
"122005",61,"S",31
"012006",31,"N",31
"022006",59,"S",28
"032006",31,"N",31
"042006",61,"S",30
"052006",31,"N",31
"062006",61,"S",30
"072006",31,"N",31
"082006",62,"S",31
"092006",30,"N",30
"102006",61,"S",31
"112006",30,"N",30
"122006",61,"S",31
"012007",31,"N",31
"022007",59,"S",28
"032007",31,"N",31
"042007",61,"S",30
"052007",31,"N",31
"062007",61,"S",30
"072007",31,"N",31
"082007",62,"S",31
"092007",30,"N",30
"102007",61,"S",31
"112007",30,"N",30
"122007",61,"S",31
"012008",31,"N",31
"022008",60,"S",29
"032008",31,"N",31
"042008",61,"S",30
"052008",31,"N",31
"062008",61,"S",30
"072008",31,"N",31
"082008",62,"S",31
"092008",30,"N",30
"102008",61,"S",31
"112008",30,"N",30
"122008",61,"S",31
"011997",31,"N",31
"021997",59,"S",28
"031997",31,"N",31
"041997",61,"S",30
"051997",31,"N",31
"061997",61,"S",30
"071997",31,"N",31
"081997",62,"S",31
"091997",30,"N",30
"101997",61,"S",31
"111997",30,"N",30
"121997",61,"S",31
"011998",31,"N",31
"021998",59,"S",28
"031998",31,"N",31
"041998",61,"S",30
"051998",31,"N",31
"061998",61,"S",30
"071998",31,"N",31
"081998",62,"S",31
"091998",30,"N",30
"101998",61,"S",31
"111998",30,"N",30
"121998",61,"S",31
"011999",31,"N",31
"021999",59,"S",28
"031999",31,"N",31
"041999",61,"S",30
"051999",31,"N",31
"061999",61,"S",30
"071999",31,"N",31
"081999",62,"S",31
"091999",30,"N",30
"101999",61,"S",31
"111999",30,"N",30
"121999",61,"S",31
"012000",31,"N",31
"022000",60,"S",29
"032000",31,"N",31
"042000",61,"S",30
"052000",31,"N",31
"062000",61,"S",30
"072000",31,"N",31
"082000",62,"S",31
"092000",30,"N",30
"102000",61,"S",31
"112000",30,"N",30
"122000",61,"S",31
"012001",31,"N",31
"022001",59,"S",28
"032001",31,"N",31
"042001",61,"S",30
"052001",31,"N",31
"062001",61,"S",30
"072001",31,"N",31
"082001",62,"S",31
"092001",30,"N",30
"102001",61,"S",31
"112001",30,"N",30
"122001",61,"S",31
"012002",31,"N",31
"022002",59,"S",28
"032002",31,"N",31
"042002",61,"S",30
"052002",31,"N",31
"062002",61,"S",30
"072002",31,"N",31
"082002",62,"S",31
"092002",30,"N",30
"102002",61,"S",31
"112002",30,"N",30
"122002",61,"S",31
"012003",31,"N",31
"022003",59,"S",28
"032003",31,"N",31
"042003",61,"S",30
"052003",31,"N",31
"062003",61,"S",30
"072003",31,"N",31
"082003",62,"S",31
"092003",30,"N",30
"102003",61,"S",31
"112003",30,"N",30
"122003",61,"S",31
"012004",31,"N",31
"022004",60,"S",29
"032004",31,"N",31
"042004",61,"S",30
"052004",31,"N",31
"062004",61,"S",30
"072004",31,"N",31
"082004",62,"S",31
"092004",30,"N",30
"102004",61,"S",31
"112004",30,"N",30
"122004",61,"S",31
"012005",31,"N",31
"022005",59,"S",28
"032005",31,"N",31
"042005",61,"S",30
"052005",31,"N",31
"062005",61,"S",30
"072005",31,"N",31
"082005",62,"S",31
"092005",30,"N",30
"102005",61,"S",31
"112005",30,"N",30
