IdClaveEdo,IdClaveMun,Descripcion
"26","428","ETCHOJOA"
"26","429","GUAYMAS"
"26","430","HERMOSILLO"
"26","431","HUATABAMPO"
"26","432","MAGDALENA"
"26","433","NAVOJOA"
"26","434","NOGALES"
"26","435","PITIQUITO"
"26","436","PUERTO PENASCO"
"26","437","SAN LUIS RIO COLORADO SON"
"26","438","SANTA ANA"
"26","439","URES"
"27","440","CARDENAS"
"27","441","CENTRO"
"27","442","COMALCALCO"
"27","443","HUIMANGUILLO"
"27","444","JALAPA"
"27","445","MACUSPANA"
"27","446","TACOTALPA"
"27","447","TENOSIQUE"
"27","448","TEAPA"
"28","449","ALDAMA TAM"
"28","450","ALTAMIRA TAM"
"28","451","ANTIGUO MORELOS TAM"
"28","452","CAMARGO TAM"
"28","453","CD MADERO TAM"
"28","454","GOMEZ FARIAS TAM"
"28","455","VILLA GONZALEZ TAM"
"28","456","GUERRERO TAM"
"28","457","GUSTAVO DIAZ ORDAZ TAM"
"28","458","LLERA TAM"
"28","459","EL MANTE TAM"
"28","460","MATAMOROS TAM"
"25","973","COSALA"
"25","974","ELOTA"
"16","975","CHURUNUCO"
"30","976","ALTO LUCERO"
"03","977","COMONDU"
"16","978","STA ANA PACUECO"
"15","979","CUAUTITLAN IZCALLI"
"26","980","NACOZARI DE GARCIA"
"30","981","CHINAMECA"
"07","982","REFORMA"
"30","983","PUEBLO VIEJO VER"
"13","984","TEZONTEPEC DE ALDAMA"
"08","985","GUERRERO"
"07","986","TECPATAN"
"20","987","EL ESPINAL"
"20","988","SANTIAGO PINOTEPA NACIONAL"
"27","989","CUNDUACAN"
"27","990","PARAISO"
"26","991","ALAMOS"
"03","992","LOS CABOS"
"15","993","JILOTZINGO"
"15","994","ISIDRO FABELA"
"05","995","SIERRA MOJADA"
"05","996","GENERAL CEPEDA"
"05","997","HIDALGO COAH"
"07","998","PIJIJIAPAN"
"07","999","MAPASTEPEC"
"07","100","FRONTERA COMALAPA"
"12","111","ZIRANDARO"
"15","111","TEJUPILCO"
"15","111","ATLACOMULCO"
"15","111","TEMASCALCINGO"
"15","111","TIMILPAN"
"15","111","MORELOS"
"15","111","TEMOAYA"
"15","111","JIQUIPILCO"
"15","111","TENANGO DEL VALLE"
"15","112","CALIMAYA"
"15","112","MEXICALCINGO"
"15","112","RAYON"
"15","112","SAN ANTONIO DE LA ISLA"
"15","112","EL ORO"
"16","112","TLALPUJAHUA"
"15","112","VILLA VICTORIA"
"15","112","VILLA DE ALLENDE"
"15","112","SULTEPEC"
"15","112","TEXCALTITLAN"
"15","113","ALMOLOYA DE ALQUISIRAS"
"15","113","TEMASCALTEPEC"
"15","113","SAN SIMON DE GUERRERO"
"15","113","MALINALCO"
"15","113","OCUILAN"
"15","113","DONATO GUERRA"
"15","113","AMANALCO"
"15","113","XONACATLAN"
"15","113","ALMOLOYA DE JUAREZ"
"15","113","JALATLACO"
"15","114","TEXCALCAYAC"
"15","114","CHAPULTEPEC"
"15","114","VILLA GUERRERO"
"15","114","ZUMPAHUACAN"
"15","114","JOQUICINGO"
"15","114","TONATICO"
"15","114","COATEPEC HARINAS"
"15","114","SAN FELIPE DEL PROGRESO"
"16","114","TEPALCATEPEC"
"16","114","BUENAVISTA"
"16","115","PAJACUARAN"
"16","115","ZINAPECUARO"
"16","115","QUERENDARO"
"16","115","INDAPARAPEO"
"16","115","OCAMPO"
"16","115","VISTA HERMOSA"
"21","374","SAN ANDRES CHOLULA"
"21","375","SAN GREGORIO ATZOMPA"
"21","376","SAN JOSE CHIAPA"
"21","377","SAN MARTIN TEXMELUCAN"
"21","378","SAN MATIAS TLALANCALECA"
"24","122","ARMADILLO DE LOS INFANTE"
"24","122","CERRO DE SAN PEDRO"
"24","122","MEXQUITIC DE CARMONA"
"24","122","CERRITOS"
"24","122","VILLA JUAREZ"
"24","122","VILLA HIDALGO"
"24","122","AHUALULCO"
"24","122","GUADALCAZAR"
"24","122","CATORCE"
"24","122","TAMPACAN"
"24","123","LAGUNILLAS"
"17","123","TEMOAC"
"21","123","ACTEOPAN"
"18","123","SAN PEDRO LAGUNILLAS"
"19","123","ANAHUAC"
"30","123","NANCHITAL L CARDENAS DEL RIO"
"19","123","LAMPAZOS DE NARANJO"
"19","123","AGUALEGUAS"
"19","123","PARAS"
"19","123","ARAMBERRI"
"19","124","GENERAL ZARAGOZA"
"19","124","CERRALVO"
"19","124","MELCHOR OCAMPO"
"19","124","GENERAL TREVI&O"
"19","124","CIENEGA DE FLORES"
"19","124","GENERAL ZUAZUA"
"19","124","MARIN"
"19","124","DR GONZALEZ"
"19","124","HIGUERAS"
"19","124","CHINA"
"19","125","GENERAL BRAVO"
"19","125","DOCTOR COSS"
"19","125","LOS ALDAMAS"
"19","125","LOS RAMONES"
"19","125","LOS HERRERAS"
"12","125","LA UNION"
"19","125","ABASOLO"
"19","125","MINA"
"19","125","VILLALDAMA"
"19","125","BUSTAMANTE"
"19","126","VALLECILLO"
"19","126","DR ARROYO"
"19","126","MIER Y NORIEGA"
"19","126","GALEANA"
"19","126","ITURBIDE"
"19","126","RAYONES"
"20","126","SAN BALTAZAR CHICHICAPAM"
"20","126","SAN JUAN GUICHICOVI"
"20","126","SANTA MARIA PETAPA"
"20","126","SANTO DOMINGO PETAPA"
"20","127","SAN PEDRO TAPANATEPEC"
"20","127","SANTO DOMINGO ZANATEPEC"
"20","127","CHAHUITES"
"20","127","SANTIAGO NILTEPEC"
"20","127","SANTA MARIA XADANI"
"20","127","SANTIAGO HUAJOLOTITLAN"
"20","127","ZAPOTITLAN PALMAS"
"20","127","SAN JERONIMO SILACAYOAPILLA"
"20","127","TEZOATLAN DE SEGURA Y LUNA"
"20","127","SAN JUAN TEPOSCOLULA"
"20","128","SANTOS REYES PAPALO"
"20","128","HEROICA CIUDAD DE TLAXIACO"
"20","128","SANTA MARIA DEL ROSARIO"
"20","128","SAN CRISTOBAL AMOLTEPEC"
"20","128","SANTIAGO JAMILTEPEC"
"20","128","SAN ANDRES HUAXPALTEPEC"
"20","128","SAN PEDRO TUTUTEPEC"
"20","128","SAN BLAS ATEMPA"
"20","128","SANTA CATARINA MECHOACAN"
"21","128","CUETZALAN DEL PROGRESO"
"21","129","TLATLAUQUITEPEC"
"21","129","ZARAGOZA"
"21","129","ACATLAN"
"21","129","CHIGNAHUAPAN"
"21","129","TETELA DE OCAMPO"
"21","129","AQUIXTLA"
"29","129","EL CARMEN TEQUEXQUITLA"
"21","129","HUEJOTZINGO"
"21","129","CHIAUTZINGO"
"21","129","TLALTENANGO"
"21","130","MOLCAXAC"
