Ano,Prima_Minima,Prima_Maxima,Fecha_Ini,Fecha_Fin
"1995",0.2500,15.0000,"03/01/96 00:00:00","02/28/97 00:00:00"
"1996",0.2500,15.0000,"03/01/97 00:00:00","02/28/98 00:00:00"
"1997",0.2500,15.0000,"03/01/98 00:00:00","02/28/99 00:00:00"
"1998",0.2500,15.0000,"03/01/99 00:00:00","02/29/00 00:00:00"
"1999",0.2500,15.0000,"03/01/00 00:00:00","02/28/01 00:00:00"
"2000",0.2500,15.0000,"03/01/01 00:00:00","02/28/02 00:00:00"
"2001",0.2500,15.0000,"03/01/02 00:00:00","02/28/03 00:00:00"
"2002",0.3100,15.0000,"03/01/03 00:00:00","02/29/04 00:00:00"
"2003",0.3800,15.0000,"03/01/04 00:00:00","02/28/05 00:00:00"
"2004",0.4400,15.0000,"03/01/05 00:00:00","02/28/06 00:00:00"
"2005",0.5000,15.0000,"03/01/06 00:00:00","02/28/07 00:00:00"
"2006",0.5000,15.0000,"03/01/07 00:00:00","02/29/08 00:00:00"
"2007",0.5000,15.0000,"03/01/08 00:00:00","02/28/09 00:00:00"
"2008",0.5000,15.0000,"03/01/09 00:00:00","02/28/10 00:00:00"
"2009",0.5000,15.0000,"03/01/10 00:00:00","02/28/11 00:00:00"
"2010",0.5000,15.0000,"03/01/11 00:00:00","02/29/12 00:00:00"
"2011",0.5000,15.0000,"03/01/12 00:00:00","02/28/13 00:00:00"
"2012",0.5000,15.0000,"03/01/13 00:00:00","02/28/14 00:00:00"
"2013",0.5000,15.0000,"03/01/14 00:00:00","02/28/15 00:00:00"
"2014",0.5000,15.0000,"03/01/15 00:00:00","02/29/16 00:00:00"
"2015",0.5000,15.0000,"03/01/16 00:00:00","02/28/17 00:00:00"
"2016",0.5000,15.0000,"03/01/17 00:00:00","02/28/18 00:00:00"
"2017",0.5000,15.0000,"03/01/18 00:00:00","02/28/19 00:00:00"
"2018",0.5000,15.0000,"03/01/19 00:00:00","02/29/20 00:00:00"
"2019",0.5000,15.0000,"03/01/20 00:00:00","02/28/21 00:00:00"
"2020",0.5000,15.0000,"03/01/21 00:00:00","02/28/22 00:00:00"
