Reg_Pat,Ano,Mes,Prima_Rt,ValMes
"A8314070104","2017","Marzo",2.02662992e+00,3
"A8314070104","2018","Marzo",1.77645004e+00,3
"A8315879107","2017","Marzo",1.99659002e+00,3
"A8315879107","2018","Marzo",2.08966994e+00,3
"A8362159106","2017","Marzo",5.88750005e-01,3
"A8362159106","2018","Marzo",5.88750005e-01,3
"A8364376104","2017","Marzo",1.58875000e+00,3
"A8364376104","2018","Marzo",5.88750005e-01,3
"B2817785101","2008","Enero",1.59840000e+00,1
"B2817785101","2009","Marzo",5.98399997e-01,3
"B2820655101","2017","Marzo",4.65325022e+00,3
"B2820655101","2018","Marzo",3.65324998e+00,3
"B2834053103","2015","Noviembre",1.13065004e+00,11
"B2834053103","2016","Marzo",1.13065004e+00,3
"B2834053103","2017","Marzo",5.00000000e-01,3
"B2834053103","2018","Marzo",5.00000000e-01,3
"B2834165105","2016","Febrero",7.58874989e+00,2
"B2834165105","2016","Marzo",7.58874989e+00,3
"B2834165105","2017","Marzo",7.58874989e+00,3
"B2834165105","2018","Marzo",6.58874989e+00,3
"B3115990104","2006","Marzo",5.00000000e-01,3
"B3115990104","2007","Marzo",1.50000000e+00,3
"B3115990104","2008","Marzo",1.50000000e+00,3
"B3115990104","2009","Junio",1.94421995e+00,6
"B3115990104","2009","Marzo",1.94421995e+00,3
"B3115990104","2010","Marzo",9.44220006e-01,3
"B3115990104","2011","Marzo",1.94421995e+00,3
"B3115990104","2012","Marzo",9.44220006e-01,3
"B3115990104","2013","Marzo",1.81018996e+00,3
"B3115990104","2014","Marzo",8.10190022e-01,3
"B3115990104","2015","Marzo",1.81018996e+00,3
"B3115990104","2016","Marzo",2.81018996e+00,3
"B3115990104","2017","Marzo",2.68677998e+00,3
"B3115990104","2018","Marzo",1.68677998e+00,3
"B3115991102","2005","Marzo",6.03499985e+00,3
"B3115991102","2006","Marzo",7.03499985e+00,3
"B3115991102","2007","Marzo",6.03499985e+00,3
"B3115991102","2008","Marzo",5.00000000e-01,3
"B3115991102","2009","Marzo",5.03499985e+00,3
"B3115991102","2010","Marzo",4.03499985e+00,3
"B3115991102","2011","Marzo",3.03500009e+00,3
"B3115991102","2012","Marzo",2.03500009e+00,3
"B3115991102","2013","Marzo",2.76360011e+00,3
"B3115991102","2014","Marzo",1.76359999e+00,3
"B3115991102","2015","Marzo",1.49495006e+00,3
"B3115991102","2016","Marzo",5.00000000e-01,3
"B3115991102","2017","Marzo",1.50000000e+00,3
"B3115991102","2018","Marzo",5.00000000e-01,3
