CLASE,FRACCION,Actividad
"II","308","FABRICACION DE PERFUMES Y COSMETICOS"
"II","3016","FABRICACION DE FIBRAS ARTIFICIALES Y SINTETICAS"
"II","3313","FAB.VIDRIO Y/O PRODS.VIDRIO C/PROC.CONTINUOS AUTOMATIZA"
"II","364","FAB.Y/O ENSAM.MAQ.COSER, OFICINA,COMPUTO Y SUS PARTES "
"II","372","FAB.Y/O ENSAM.EQ.Y APARATOS RADIO, T.V. Y COMUNICACIONES"
"II","379","FAB.Y/O ENSAM.APARATOS,ACCS.ELEC.O ELECTRONI.P/EMP.ETC."
"II","384","FAB.Y/O ENSAM.PART.P/SIST.ELEC.DE VEHICULOS AUTOMOVILES"
"II","391","FAB.ENSAM.Y/O REP.APAR.INSTR.Y ACCS.OPTICA Y FOTOGRAFIA"
"II","392","FAB.MONT.Y/O ENSAM.RELOJES,JOYAS,ARTS.ORFEB.Y FANTASIA "
"II","395","FAB.Y/O ENSAM.INSTR.MUSI.JUGUETES Y ARTS.DEP.S/MAQ NI EQ."
"II","397","TALLERES DE MECANICA DENTAL"
"II","611","EXPENDIOS VTAS.MENUDEO ALIMENTOS,BEBIDAS Y/O PRODS.TAB."
"II","622","COMPRAVENTA PRENDAS ACCS.VESTIR Y ARTS.P/CONF.S/TRANSP."
"II","625","COMPRAVENTA DE  ARTICULOS DE USO PERSONAL S/TRANSPORTE"
"II","629","COMPRAVENTA MEDIC.PRODS.FARM.QUIM-FARM.PERFUM.C/TRANSP."
"II","6212","COMPRAVENTA PAPELERIA,UTILES ESC.OFNA.ETC.C/TRANSPORTE"
"II","636","COMPRAVTA.OTROS ARTS.P/HOGAR C/TRANSP.Y/O SERVS.INSTAL."
"II","641","SUPERMERCADOS,TIENDAS AUTOSERV.Y DEPTOS.ESPECIALIZADOS"
"II","652","COMPRAVENTA DE LUBRICANTES Y ADITIVOS SIN TRANSPORTE"
"II","661","EXPENDIOS VENTAS MENUDEO MATERIAS PRIMAS AGROPECUARIAS"
"II","664","COMPRAVTA.MATS.P/CONSTRUC.S/TRANSP.NI PREP.DE MERCANCIA"
"II","666","COMPRAVTA.MAT.ELEC.PINTURAS Y PRODS.TLAPALERIA S/TRANSP"
"II","667","COMPRAVTA.MAT.ELEC.PINTURAS Y PRODS.TLAPALERIA C/TRANSP"
"II","6610","COMPRAVTA.FERTILIZANTES,PLAGUIC.Y PRODS.QUIM.S/TRANSP."
"II","6612","COMPRAVENTA PIELES,CUEROS, OTROS ARTS.PELETERIA S/TRANSP"
"II","6614","COMPRAVENTA DE PAPEL Y CARTON NUEVOS,SIN TRANSPORTE"
"II","671","EXPENDIOS VENTAS MENU.REF.Y ACCS.P/MAQ.Y/O EQ.PRODC.BIE"
"II","672","COMPRAVTA.MAQ.EQ.REF.Y/O ACCS.P/PRODC.BIENES S/TRANS."
"II","677","C/VTA  EQ.MOB.PART.P/SERVS.Y COMER.C/TRANSP.O INSTAL.REP"
"II","6710","C/VTA.APAR.INSTR.P/USOS CIENTIFICOS C/TRANSP.O INSTAL."
"II","6711","C/VTA.EQ.COMPUTO Y PERIFERICOS C/SERVS. INSTAL.REP.MANT."
"II","681","EXPENDIOS VTAS.MENUDEO REF.ACCS.PART.P/EQ.DE TRANSPORTE"
"II","682","COMPRAVENTA EQ. TRANSP. REF.ACCS.O PARTES S/TRANSPORTE"
"II","693","COMPRAVENTA ARTS. DIVERSOS NO CLASIFICADOS S/TRANSPORTE"
"II","694","C/VTA.ARTS.DIVERSOS NO CLAS.C/TRANSP.O INSTAL.REP.MANT."
"II","730","TRANSPORTE AEREO"
"II","740","ADMON.VIAS COMUNICACION TERMINALES Y SERVS.AUXILIARES"
"II","760","COMUNICACIONES"
"II","845","SERVICIOS DE LABORATORIO PARA LA INDUSTRIA EN GENERAL"
"II","854","SERVICIOS DE ALQUILER DE EQUIPO Y MOBILIARIO A EMPRESAS"
"II","856","SERVS.DE ALQUILER O RENTA AUTOMOVILES BICICLETAS MOTOC"
"II","860","SERVICIOS DE ALOJAMIENTO TEMPORAL"
"II","871","PREPARACION Y SERVICIOS DE ALIMENTOS"
"II","881","SERVICIOS RECREATIVOS"
"II","884","SERVS. DE CENTROS NOCTURNOS,SALONES DE BAILES Y CASINOS"
"II","892","SERVS.REP.ARTS.USO DOMEST.Y PERSON.S/MAQ.NI EQ.MOTORIZA."
"II","894","SERVICIOS PARA EL ASEO PERSONAL Y SANITARIOS"
"II","896","SERVS.DE ASEO Y LIMPIEZA S/MAQUINARIA NI EQ.MOTORIZADO"
"II","8912","INHUMACIONES Y SERVICIOS CONEXOS"
"II","922","SERVICIOS MEDICOS, PARAMEDICOS Y AUXILIARES"
"II","941","SERVICIOS GENERALES DE LA ADMINISTRACION PUBLICA"
"II","943","SEGURIDAD SOCIAL"
"III","011","AGRICULTURA   "
"III","021","CRIA Y EXPLOTACION DE GANADO Y OTRAS CLASES DE ANIMALES"
"III","042","PESCA EN AGUAS INTERIORES"
"III","201","ELAB.PREP.PRODS. ALIMENTICIOS FRUT.Y LEG.CONSV.ENV.EMPAC."
"III","206","ELAB.PREP.CONSV.ENV.Y/O EMPAC.DE PRODUCTOS LACTEOS"
"III","208","ELABORACION DE PRODUCTOS A BASE DE CEREALES"
"III","209","ELAB.CHOCOLATES DULCES CONFIT.JARAB.CONCENT.COLOR.P/ALI"
"III","2012","FAB.ALMIDONES,FECULAS,LEVADURAS,MALTA Y PRODS.SIMILARES"
"III","2013","ELAB.PREP.ENV.Y/O EMPAC DE OTROS PRODUCTOS ALIMENTICIOS"
"III","2015","FAB.PRODS.A BASE  CEREALES C/PROC.CONTINUOS AUTOMATIZADO"
"III","211","ELABORACION Y/O  ENVASE DE BEBIDAS ALCOHOLICAS"
"III","220","BENEFICIO Y/O FABRICACION DE PRODUCTOS DE TABACO"
"III","233","FABRICACION DE TEJIDOS Y ARTICULOS DE PUNTO"
"III","251","FABRICACION DE CALZADO CON MAQUINARIA Y/O EQ.MOTORIZADO"
"III","255","FABRICACION DE ARTICULOS DE CUERO,PIEL Y SUCEDANEOS"
"III","264","FABRICACION DE ARTS.DE CORCHO,PALMA,VARA,CARRIZO  MIMBRE"
"III","291","INDUSTRIAS EDITORIAL, IMPRESION,ENCUADER.Y ACTVS.CONEXAS"
"III","301","FAB.SUBSTANCIAS QUIMICAS E INDUSTRIALES EXCEPTO ABONOS"
"III","303","FABRICACION DE RESINAS SINTETICAS Y PLASTIFICANTES"
"III","304","INDUSTRIA DE LAS PINTURAS"
"III","307","FAB.PRODS.QUIMICOS P/LIMPIEZA Y AROMATIZANTES AMBIENTAL"
"III","3010","FABRICACION DE VELAS, VELADORAS Y SIMILARES"
"III","3014","OTROS PRODUCTOS DE LAS INDUSTRIAS QUIMICAS CONEXAS"
"III","312","FABRICACION DE LUBRICANTES Y ADITIVOS"
"III","331","MANUFACTURA DE ARTICULOS DE ALFARERIA Y CERAMICA"
"III","338","FABRICACION DE PRODUCTOS ABRASIVOS"
"III","3312","FAB.DE AZULEJOS CON PROCESOS CONTINUOS AUTOMATIZADOS"
"III","358","FAB.AGUJAS,ALFIL.CIERRES,BOTONES Y NAVAJAS P/RASURAR"
"III","3511","TRAT.TERM.Y GALVANOPLASTIA C/PROC.CONT.AUTOMATIZADOS"
"III","367","REP.Y/O MANTENIMIENTO DE MAQ.Y EQUIPO EN GENERAL"
"III","373","FAB.Y/O GRAB.DISCOS CINTAS MAG.P/SONIDOS IMAG.Y DATOS"
"III","374","FAB.Y/O ENSAM.APARATOS ELEC.Y SUS PARTES P/USO DOMESTIC"
"III","376","FAB. Y/O ENSAMB.PILAS(SECAS)COMP.ELEC.Y ELECTRONI.DIVERS."
"III","377","FAB.Y/O ENSAMB.LAMP.(FOCOS)TUBOS VACIO P/ALUMBRADO ELEC."
"III","378","FABRICACION DE CONDUCTORES ELECTRICOS"
"III","3711","FAB.EN SERIE O C/PROC.CONT.DE ACUMULADORES ELECTRICOS"
"III","381","FABRICACION Y/O ENSAMBLE DE AERONAVES "
"III","388","FAB.Y/O ENSAM.AUTOS, AUTOBUSES,CAMIONES Y MOTOCICLETAS"
"III","389","FAB.Y/O ENSAM.DE MOTORES P/AUTOS,AUTOBUSES Y CAMIONES"
"III","390","FAB.ENSAM.Y/O REP.DE EQ.APAR.CIENT.PROF.E INSTR.MED.CON"
"III","394","FAB.Y/O ENSAM.INSTR.MUSI.JUGUETES Y ARTS.DEP.C/MAQ.O EQ."
"III","396","FABRICACION DE LAPICES,GOMAS,PLUMAS Y BOLIGRAFOS"
"III","398","FAB.Y/O ENSAM.ARMAS FUEGO PORT.CARTU.MUNICIONES, ACCS."
"III","399","FAB.ENSAM.Y/O REP.OTROS ARTS.MANUF.NO CLAS.ANT.S/MAQ.EQ."
"III","510","CAPTACION Y SUMINISTRO DE AGUA POTABLE Y TRATADA"
"III","612","COMPRAVENTA ALIMENTOS,BEBIDAS Y/O PRODS.TAB.S/TRANSP."
"III","613","COMPRAVENTA ALIMENTOS,BEBIDAS Y/O PRODS.TAB.C/TRANSP."
"III","614","COMPRAVENTA E INTRODUCCION DE ANIMALES VIVOS"
"III","6211","COMPRAVENTA PAPELERIA,UTILES ESC.OFNA.ETC.S/TRANSPORTE"
"III","633","COMPRAVTA.MAQ.MUEB.APART.INSTR.P/HOGAR C/TRANSP.O INSTA."
"III","653","ESTACIONES VTA.GASOL.DIESEL Y C/VTA.LUBRI.ADIT.C/TRANSP."
"III","654","COMPRAVENTA DE LEÑA,CARBON VEGETAL Y MINERAL"
"III","662","COMPRAVENTA MATERIAS PRIMAS AGROPECUARIAS S/TRANSPORTE"
"III","663","COMPRAVENTA MATERIAS PRIMAS AGROPECUARIAS C/TRANSPORTE"
"III","6611","COMPRAVTA.FERTILIZANTES,PLAGUIC.Y PRODS.QUIM.C/TRANSP."
"III","6615","COMPRAVENTA DE PAPEL Y CARTON NUEVOS,CON TRANSPORTE"
"III","6617","COMPRAVENTA DE EXPLOSIVOS Y PRODUCTOS DE PIROTECNIA"
"III","673","COMPRAVTA.MAQ.EQ.REF.ACCS.P/PRODC.BIE.C/TRANSP.REP.MANT."
"III","683","C/VTA.EQ.TRANSP.REF. ACCS.O PART.C/TRANSP.O INSTAL.REP."
"III","754","SERVS.ALQUILER AERONAVES, CARROS FFCC.YTRANSP.ACUATICOS"
"III","844","SERVICIOS DE PROTECCION Y CUSTODIA"
"III","851","SERVICIOS DE ALQUILER DE MAQUINARIA Y EQUIPO AGRICOLA"
"III","853","SERVICIOS DE ALQ.DE MAQ. Y EQ. P/CONSTRUC.S/OPERADORES"
"III","872","PREPARACION Y SERVICIOS DE BEBIDAS ALCOHOLICAS"
"III","883","HIPODROMOS,GALGODROMOS,PALENQUES,PLAZAS DE TOROS Y SIMI."
"III","886","CIRCOS Y JUEGOS ELECTROMECANICOS"
"III","891","SERVS.REP.LAV/ENG.VERIF.CONTAMIN.EST.VEHICULOS Y HOJALT"
"III","897","SERVS.DE ASEO Y LIMPIEZA C/MAQUINARIA Y/O EQ.MOTORIZADO"
"III","899","SERVS. DE FUMIGACION,DESINFECCION Y CONTROL DE PLAGAS."
"III","8914","SERVICIOS DE ESTACIONAMIENTO Y/O PENSION PARA VEHICULOS"
"III","942","SEGURIDAD PUBLICA"
"IV","041","PESCA DE ALTURA Y COSTERA "
"IV","044","TRABAJOS DE BUCEO"
"IV","113","EXTRACCION Y BENEFICIO DE AZUFRE"
"IV","121","EXPLORACION Y EXTRACCION DE PETROLEO CRUDO Y GAS NATURA"
"IV","133","EXTRAC.BENEFICIO MIN.METALICOS EN MINAS A CIELO ABIERTO"
"IV","141","EXPLOTACION Y/O BENEFICIO DE YACIMIENTOS DE SAL"
"IV","205","ELAB.PREP.CONSV.ENV.Y/O EMPAC.DE CARNES Y SUS DERIVADOS"
"IV","207","ELAB.PREP.CONSV.ENV.EMPAC.PESCADOS  PRODS. MARIN."
"IV","2010","ELABORACION DE ALIMENTOS PARA ANIMALES"
"IV","212","ELABORACION DE CERVEZA Y MALTA"
"IV","213","ELAB.Y/O ENVASE REFRESCOS AGUAS GASEOSAS Y PURIFICADAS"
"IV","231","FAB.PREP.HILADO,TEJIDO ACAB.TEXTILES DE FIBRAS BLANDAS"
"IV","232","TRABS.BLANQ.TEÑ.ESTAMP.IMPERM.ACAB.HIL.TEJ.FIBR.BLANDAS"
"IV","236","FAB.TEJIDOS FIBRAS BLANDAS C/TELARES AUTOM.S/LANZADERA"
"IV","237","FABRICACION DE HILADOS CON MAQUINAS DE TURBINA."
"IV","281","FABRICACION DE PAPEL Y/O CARTON Y SUS DERIVADOS"
"IV","282","FABRICACION DE ARTICULOS A BASE DE PAPEL Y/O CARTON"
"IV","302","FABRICACION DE ABONOS,FERTILIZANTES Y PLAGUICIDAS"
"IV","309","FAB.ACEITES GRASAS VEGETAL ANIMAL NO COMEST.P/USOS  INDS"
"IV","3012","FABRICACION DE CERILLOS"
"IV","3013","FABRICACION DE EXPLOSIVOS Y FUEGOS ARTIFICIALES"
"IV","311","REFINACION DEL PETROLEO CRUDO Y PETROQUIMICA BASICA"
"IV","313","FABRICACION PRODUCTOS A BASE DE ASFALTO Y SUS MEZCLAS"
"IV","322","FABRICACION DE PRODUCTOS DE PLASTICO"
"IV","333","FABRICACION DE VIDRIO Y/O PRODUCTOS DE VIDRIO"
"IV","3317","FABRICACION DE CONCRETO PREMEZCLADO"
"IV","352","FAB.REP.PUERTAS,VENT.CORT.MET.Y OTROS TRABS.DE HERRERIA"
"IV","353","FAB.ENSAMBLE Y/O REP.MUEBLES METALICOS Y SUS PARTES"
"IV","357","TRABAJOS DE TRATAMIENTOS TERMICOS Y GALVANOPLASTIA "
"IV","361","FAB.Y/O ENSAM.MAQ.EQ.IMPLEM.P/LABORES AGROPECUARIAS"
"IV","362","FAB.Y/O ENSAM.MAQ.EQ.IMPLEM.USO COMUN VARIAS INDUSTRIAS"
"IV","371","FAB.Y/O ENSAM.DE MAQ.EQ.P/GENER.Y TRANSF.ENERGIA ELEC."
